,0,1,2,3,4
0,852.197802198,869.120879121,862.271062271,807.472527473,-1.0
1,947.692307692,870.732600733,858.644688645,1051.64835165,-1.0
2,858.241758242,872.747252747,859.8534798530002,953.333333333,-1.0
3,743.406593407,874.761904762,860.2564102560001,682.161172161,-1.0
4,812.710622711,875.970695971,855.4212454210001,724.0659340660001,-1.0
5,942.051282051,875.970695971,853.0036630039999,1006.52014652,-1.0
6,900.1465201469998,877.1794871789999,854.615384615,1029.89010989,-1.0
7,766.373626374,880.402930403,855.4212454210001,749.047619048,-1.0
8,786.117216117,879.597069597,854.212454212,678.131868132,-1.0
9,931.978021978,878.388278388,855.0183150180002,948.9010989010001,-1.0
10,941.245421245,878.791208791,857.8388278389999,1064.94505495,-1.0
11,792.1611721610001,878.791208791,857.032967033,809.89010989,-1.0
12,756.703296703,878.791208791,857.032967033,644.6886446890001,-1.0
13,890.073260073,876.373626374,857.8388278389999,859.8534798530002,-1.0
14,946.4835164839999,876.373626374,851.3919413919998,1060.10989011,-1.0
15,823.186813187,878.791208791,848.168498168,875.970695971,-1.0
16,746.63003663,878.791208791,850.9890109889999,640.256410256,-1.0
17,855.4212454210001,879.194139194,850.1831501830002,772.8205128210001,-1.0
18,958.168498168,882.014652015,848.974358974,1031.9047618999996,-1.0
19,869.926739927,881.208791209,849.377289377,959.78021978,-1.0
20,747.435897436,878.388278388,852.197802198,687.399267399,-1.0
21,802.2344322339999,880.805860806,856.63003663,705.531135531,-1.0
22,925.9340659339999,882.417582418,857.032967033,985.164835165,-1.0
23,896.52014652,879.194139194,859.047619048,1025.45787546,-1.0
24,759.926739927,878.388278388,858.644688645,751.465201465,-1.0
25,764.761904762,876.776556777,855.8241758239999,663.626373626,-1.0
26,904.1758241760001,875.164835165,856.2271062269998,925.128205128,-1.0
27,923.9194139189999,875.970695971,856.63003663,1062.93040293,-1.0
28,787.3260073260001,876.373626374,857.435897436,826.813186813,-1.0
29,748.644688645,875.164835165,860.2564102560001,652.747252747,-1.0
30,880.805860806,873.553113553,859.450549451,854.615384615,-1.0
31,948.498168498,872.3443223439999,861.465201465,1072.6007326,-1.0
32,833.663003663,874.358974359,865.091575092,905.384615385,-1.0
33,744.615384615,875.970695971,859.8534798530002,650.32967033,-1.0
34,842.124542125,875.567765568,855.0183150180002,764.761904762,-1.0
35,950.10989011,872.747252747,856.63003663,1035.12820513,-1.0
36,873.15018315,872.3443223439999,856.63003663,983.956043956,-1.0
37,751.868131868,874.358974359,857.8388278389999,705.531135531,-1.0
38,806.2637362639999,873.553113553,856.63003663,701.904761905,-1.0
39,935.6043956039999,871.135531136,857.032967033,981.941391941,-1.0
40,915.457875458,871.941391941,861.0622710619998,1041.97802198,-1.0
41,781.282051282,873.956043956,857.8388278389999,768.388278388,-1.0
42,777.252747253,875.970695971,854.615384615,660.0,-1.0
43,913.04029304,874.761904762,854.212454212,915.054945055,-1.0
44,944.468864469,873.956043956,853.0036630039999,1067.76556777,-1.0
45,814.725274725,874.358974359,854.212454212,835.274725275,-1.0
46,761.941391941,872.747252747,857.8388278389999,640.659340659,-1.0
47,879.597069597,871.538461538,855.8241758239999,831.648351648,-1.0
48,957.362637363,871.538461538,853.406593407,1058.9010989,-1.0
49,847.7655677660001,871.135531136,855.4212454210001,917.06959707,-1.0
50,747.032967033,873.15018315,853.406593407,659.597069597,-1.0
